number,hash,difficulty
0x37,0xeb5889a21ebe13e2294e5b29c2bfc4a7a0af3d64cbd97a013669584fcec935f9,0x414b32153
0x38,0x60b813933719e5597bddace3821f89be8f4389d44199eb8fdae9e1e2670bf51e,0x41535b7b7
0x39,0xf394e8a094b2c701e66c8074ee7da247b676f71ba1633a68435f5e2aee975c5c,0x415b85e6d
0x3a,0xcd5b5c4cecd7f18a13fe974255badffd58e737dc67596d56bc01f063dd282e9e,0x4163b1578
0x3b,0x4d9423080290a650eaf6db19c87c76dff83d1b4ab64aefe6e5c5aa2d1f4b6623,0x416bddcda
0x3c,0x3cd0324c7ba14ba7cf6e4b664dea0360681458d76bd25dfc0d2207ce4e9abed4,0x41740b495
0x3d,0x4fba74448284fcd96d80f7014a312ca47b8e1ba94757fe88c1461609dfbe79f3,0x417c39cab
0x3e,0x59b0d0c873c975a686df424b9a7b6c33acf5d1ffa398060f1ee954b79a133307,0x41846951e
0x3f,0xc276868064fe701b091176b2246ceb87747db07ca1e8f58d997a26da6ff8b2ba,0x418c99df0
0x40,0x2829000cd655685de08e75215136ebd485911d22e0dca0fada8347b36ad22642,0x4194cb723
0x41,0x35209c6cd94dc0e470225715ade78d4ec82470d21b2738f4f66bd66e88d130dd,0x419cfe0b9
0x42,0x5fa77eb917376d67d72a7fae42b286a6a11e6e7e11d1f73dfae009b1bfc6cb76,0x41a531ab5
0x43,0xa88f79e9ae36590a96298bc020e113571b53391eb0888348c8a9c849569468c4,0x41ad66518
0x44,0x1e6b577245d478eb57e298e34a34d6fb981872f8160c57864b8168807b9ed0ba,0x41b59bfe4
0x45,0x5dbe4cd314ac4f94113e31b26b32ca18285af7ee1b89cb7548dcc7554762aa6c,0x41bdd2b1b
0x46,0x54cde7138e5c357fa23f697614729e153688820232531371443ff9ed50aef133,0x41c60a6c0
0x47,0xc7553e669b7cf2fdc8c1608764d18eca3d672966280cfcfe33d5debf46aad92b,0x41ce432d4
0x48,0x3d4051de1b8650b98ffdbe4144b68e32a903b98ea5cb16cd843cbda9098af201,0x41d67cf5a
0x49,0xe52e8cddf69b9a7f9490510d308252d498471a2a918387076340ca3cdc586c16,0x41deb7c53
0x4a,0x5836b8df56257a8eb0043ac5c34e2fb5f73944da8d8ad8994b976237f962f226,0x41e6f39c2
0x4b,0x6bf1734165b2cec0a424b25dca633871ec5850335ab6983cba17969823b5f799,0x41ef307a9
0x4c,0x9886ba26bdb9f7fb2f803c5d60d544cdaf7b035e77c2405d8c48797d00b153ba,0x41f76e609
0x4d,0x1afc0da74db403f37a3b6e2102731530381b6cac9654a3a0d04b9712143626ce,0x41ffad4e5
0x4e,0x97564b226f1742d9d073994d3d664208d95e859a9a4dac2c62ac903a5268587e,0x4207ed43f
0x4f,0x6709246317a040528f75b7b346a49e117f65d0755b74921e194a3f5371c4a19f,0x42102e419
