block_number,proof_validation_time,complete_validation_time,complete_proof_size,epoch_numbers,required_blocks
6350000,0,503,781,78,924
6719999,0,503,781,78,924
6720000,0,93,689,10,746
6750000,0,91,684,9,736
6780000,0,66,678,8,725
6810000,0,59,670,7,710
6840000,0,64,662,6,694
6870000,0,63,653,5,677
6900000,0,36,646,4,664
6930000,0,36,631,3,635
6960000,0,35,608,2,591
7000000,0,35,558,1,494
