block_number,proof_size,blocks_queried,L
2870101,615,659,100
2880101,622,654,100
2890101,613,657,100
2900101,620,658,100
2910101,622,657,100
2920101,620,659,100
2930101,628,658,100
2940101,614,652,100
2950101,620,650,100
2960101,616,647,100
2970101,610,646,100
2980101,609,647,100
2990101,616,647,100
3000101,605,645,100
3010101,610,646,100
3020101,610,648,100
3030101,606,645,100
3040101,602,646,100
3050101,605,643,100
3060101,606,646,100
3070101,598,644,100
3080101,602,646,100
3090101,599,647,100
3100101,606,646,100
3110101,602,646,100
3120101,599,647,100
3130101,605,645,100
3140101,605,645,100
3150101,603,644,100
3160101,606,643,100
3170101,597,643,100
3180101,603,642,100
3190101,604,640,100
3200101,597,641,100
3210101,611,641,100
3220101,607,639,100
3230101,604,640,100
3240101,603,642,100
3250101,601,637,100
3260101,603,636,100
3270101,596,635,100
3280101,602,636,100
3290101,602,635,100
3300101,588,634,100
3310101,587,634,100
3320101,595,632,100
3330101,599,633,100
3340101,590,632,100
3350101,599,632,100
3360101,586,629,100
3370101,586,626,100
3380101,596,630,100
3390101,586,625,100
3400101,595,627,100
3410101,591,626,100
3420101,584,624,100
3430101,572,619,100
3440101,589,620,100
3450101,582,621,100
3460101,587,618,100
3470101,589,623,100
3480101,581,621,100
3490101,583,622,100
3500101,575,621,100
3510101,585,621,100
3520101,584,620,100
3530101,578,622,100
3540101,585,620,100
3550101,576,620,100
3560101,580,615,100
3570101,579,619,100
3580101,583,618,100
3590101,571,616,100
3600101,585,618,100
3610101,577,616,100
3620101,575,611,100
3630101,573,613,100
3640101,578,615,100
3650101,573,615,100
3660101,574,615,100
3670101,574,613,100
3680101,574,611,100
3690101,575,610,100
3700101,575,614,100
3710101,572,606,100
3720101,567,608,100
3730101,558,606,100
3740101,567,602,100
3750101,560,601,100
3760101,562,604,100
3770101,571,608,100
3780101,561,606,100
3790101,550,601,100
3800101,565,602,100
3810101,560,596,100
3820101,558,594,100
3830101,551,594,100
3840101,542,592,100
3850101,557,591,100
3860101,560,591,100
3870101,550,587,100
3880101,540,588,100
3890101,548,588,100
3900101,541,585,100
3910101,539,581,100
3920101,537,580,100
3930101,542,581,100
3940101,538,579,100
3950101,534,579,100
3960101,543,578,100
3970101,533,579,100
3980101,536,581,100
3990101,529,578,100
4000101,542,578,100
4010101,539,574,100
4020101,533,577,100
4030101,531,576,100
4040101,530,577,100
4050101,533,576,100
4060101,536,575,100
4070101,540,578,100
4080101,540,579,100
4090101,540,582,100
4100101,538,578,100
4110101,517,570,100
4120101,528,576,100
4130101,539,574,100
4140101,531,574,100
4150101,530,574,100
4160101,523,575,100
4170101,521,575,100
4180101,537,577,100
4190101,532,579,100
4200101,545,577,100
4210101,519,567,100
4220101,533,569,100
4230101,525,570,100
4240101,520,571,100
4250101,530,571,100
4260101,528,571,100
4270101,530,574,100
4280101,526,575,100
4290101,528,576,100
4300101,530,574,100
4310101,525,568,100
4320101,522,567,100
4330101,525,570,100
4340101,535,570,100
4350101,530,573,100
4360101,528,573,100
4370101,529,577,100
4380101,572,628,100
4390101,572,627,100
4400101,585,628,100
4410101,582,630,100
4420101,577,629,100
4430101,585,631,100
4440101,590,632,100
4450101,588,632,100
4460101,582,634,100
4470101,579,631,100
4480101,586,637,100
4490101,579,640,100
4500101,593,637,100
4510101,593,638,100
